patient	GSM71671	GSM71672	GSM71673	GSM71674	GSM71675	GSM71676	GSM71677	GSM71678	GSM71679	GSM71680	GSM71681	GSM71682	GSM71683	GSM71684	GSM71685	GSM71686	GSM71687	GSM71688	GSM71689	GSM71690	GSM71691	GSM71692	GSM71693	GSM71694	GSM71695	GSM71696	GSM71697	GSM71698	GSM71699	GSM71700	GSM71701	GSM71702	GSM71703	GSM71704	GSM71705	GSM71706	GSM71707	GSM71708	GSM71709	GSM71710	GSM71711	GSM71712	GSM71713	GSM71714	GSM71715	GSM71716	GSM71717	GSM71718	GSM71719	GSM71720	GSM71721	GSM71722	GSM71723	GSM71724	GSM71725	GSM71726	GSM71727	GSM71728	GSM71729	GSM71730	GSM71731	GSM71732	GSM71733	GSM71734	GSM71735	GSM71736	GSM71737	GSM71738	GSM71739	GSM71740
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
216973_s_at	556.6	199.1	379.6	599.2	476.6	509.3	285.3	893.9	816.5	557.6	306.3	902.7	141.8	927.4	219.7	1040.8	978.9	133.4	88.3	89.6	223.5	287.5	29.9	330.7	173.9	2062.6	1620.8	1493.3	1361.3	1620	1732.4	1897.5	1558.4	1988.7	1526.3	1647.3	1648.8	1894.8	333.6	2119.3	1767.6	1532	1037.5	2111.7	2273.1	2466.9	2661.1	1794.2	1888.7	1451.2	1487.4	2049	1766.5	1915.1	1290.8	1186.2	1113.6	1710	2306.3	708.9	1841.4	1690.7	1698.7	1782.3	2504.2	1983.5	2231.1	1987.7	1499.1	1562.2
200644_at	1183.9	1651.4	1881.5	1050.4	1168.9	807.5	1273.2	2514.2	4887	3241.9	822	4421.9	3392.6	5243.7	2082.9	2971.8	3437.9	3528.6	1919.7	2515.5	1946.2	1721.9	2776.9	800	4216.3	8939.8	6984.5	8815.8	7906.1	7239.7	7518.6	5537.2	9728.8	8377.8	7079	8360.5	5962.9	6705.6	1272	7232.7	6294.8	8850.2	7168.3	6464.9	6266.1	6066.6	7246.3	9913.8	8551.7	9079.3	10014.2	8353.9	7005	7182.3	8502.1	5545	7031.6	4989.5	3216.1	3361.4	7248.8	7053.7	7918.2	8672	7556.7	7577.4	5947	7675.2	5513.8	7958
208308_s_at	1463.3	601.5	808.9	1340.4	1061.7	2503.1	1887.5	2875.1	3094.3	3778.1	2238.2	1977.8	3151.7	3231.9	2321	3505.7	3987.6	3397.5	1147.3	3011.7	1931.5	638.3	2597	382.6	1694.3	12878.7	15192.3	15980.9	17281.8	16372.2	9492.9	14605.7	16642.5	17270.8	15365.2	13217.7	13470.5	10354.9	3741.2	9366.5	14585.7	5659.2	9994.6	11791.5	9325.9	12987.4	13301.7	12003.3	9689.4	15423.3	11305.4	12641.4	12412.4	13064.5	5909.2	3326	5689.7	6227.2	4135.7	2948.8	12281.7	12338.9	16386.7	12101.1	9648.3	10066.2	10975	14349.2	9979.6	13018.9
217736_s_at	1862.5	1412.1	1577.6	1898.2	1287.5	2664.8	1610.5	2651.6	2310.3	2408	3131.8	2994.2	2680.3	3361.2	3190.1	2996.2	2320.7	3705	1467.5	2262	2125.5	1278.4	3086.4	1131.1	2417.2	5579.1	4462.3	3793.2	5017.1	4818.4	5579.1	5718.2	5107.7	4872.6	5458.8	4957	5375.8	4901.7	3072.8	4893.5	4744.8	3867.7	5889.7	4237	5230.2	4548.9	4898.1	4272.9	3839.5	3868	4280.2	4283.5	4367.4	5021	4314.6	3952	3387.9	2734.5	3801.6	3513.7	4238.8	4468.1	4379.9	5515.3	4864.2	5799.1	6283.2	5459.9	4169.1	4781.6
221759_at	206	51.6	118.1	27.9	30.5	138.1	58.7	520.9	469.6	404.3	176.4	445	408.5	698.6	137.7	505	592	506	213	258.8	177.8	58.9	46	29.3	58.6	1443	1346.7	788	1222.2	1260.7	679	1521.2	1384.1	1261.4	1352.5	1150.9	1180.7	1256.6	691.8	1365.3	945	1428.7	2556.3	2151.1	1370.7	1581.7	1454.4	1167	1084.5	1151.1	935.5	1584.7	1084.1	1190.3	1670.8	1390.6	1005.2	1338.7	557.6	873.6	1221.1	1365.9	1548.2	1442.4	1186.9	1306.4	1681.3	1356.3	1235.7	948.5
213399_x_at	5171.2	4011.1	3876.8	4110.3	4738.8	4109.5	4976	6074.5	7022.7	7990.8	5647.3	5842.3	6384.3	8621.7	7070.2	5661.1	7323	5816.8	6120.7	5196.8	5332.6	5241.9	3517.9	4083.3	4420.2	10694.3	11331.4	8060.4	10149.1	11387.1	7969.6	10878.1	10285.9	10941.1	10599.7	11132.4	9934.5	11763.8	8478.4	11326.1	11162.2	8686.2	7312.2	9540.8	8073	9859.5	9419.1	10239.1	8873.4	10497.9	9847.2	9347	10265.9	9674.5	6562.2	9351.3	11528	12298.7	9110.5	7586.1	9039.4	9080.3	10882.9	7666.1	8514.2	6841.3	8575.9	11144.9	8333.2	10145.9
200065_s_at	3593.1	1976.4	2680.7	2949.3	1791.9	5220.8	3735.8	5634.9	5508	7209.8	5380.5	6721.3	5741.9	5010.4	5264.4	6874	7331.6	7479.4	2647.8	5695.3	4179.1	1972.4	4957.1	1698.7	5155.2	9913.2	7734.1	8920.5	9982.7	7532.4	8103.3	8790.1	9782.1	7830.1	8239.3	8697.3	10093.1	8901.9	6878.1	9139.7	7655.7	6330.1	10337.2	9615.4	7730.8	11049.5	11929.8	11037.1	9380.1	11162.3	10102.8	10014.7	10269.3	10438.8	11961.7	6467.1	9671.2	12362.2	8078.4	8107.7	11317	12037	10819.9	9978.3	10381.8	8804.2	9847.1	9896.2	9311.7	8890.8
200972_at	2724.8	2244.1	1688.1	3233.8	4268	3211.6	2803.7	2835.2	4039.3	4386.7	3228.2	2810	2134.3	3068	2696.2	3471.4	2857.3	2613.3	3376	2901.8	2959.8	3162.6	2592	2819	3022.2	9420.6	11017.8	9217.5	8035.3	10197.7	9263.4	9297.4	10123.6	10180.8	8908.8	8942.8	8059.3	8185.7	3563.3	10093.6	10129.2	7012.7	4569.3	11253.3	8016	8972.1	8315.2	10744.6	9642	8763.4	8310.8	10160.4	9737.9	8574.9	2343.9	7096	4596.9	4902.7	3509.3	3739.4	8640.3	8558.2	10745.1	8869.8	10196.2	8644.5	10863.9	10321.3	9492.5	10796.6
201954_at	1617.4	1003.7	1762.6	2470	1519.5	2050.3	2728	3281	3551.1	7053.7	1902	2760.3	2727	6114.1	4230.6	2301.8	4028.8	2067.8	3784.9	2356.2	5754.1	1955	2384.5	1223.2	3252.9	31967.8	30256	27912.5	34232.8	29389.5	30116	29131.9	31281.6	29974.4	32526.3	36364.7	30894.1	36758.4	9088.8	29727.1	23755.5	9671.2	5718.5	21146.7	28810.4	20139.5	25203	24955	19287.6	25900.7	25298.9	25592.3	27192.7	21219.6	6656.2	14332	8933.1	7981.4	8884.4	7022.7	24676.4	25748.7	28964	30635.3	24103.9	36446.1	30028.2	36009.6	22719.3	35660.8
