ID_REF	GSM26248	GSM26295	GSM26296	GSM26297	GSM26298	GSM26299	GSM26300	GSM26301	GSM26302	GSM26303	GSM26304	GSM26305	GSM26388	GSM26389	GSM26390	GSM26392	GSM26393	GSM26394	GSM26397	GSM26399	GSM26405	GSM26407	GSM26408	GSM26409	GSM26410	GSM26411	GSM26412	GSM26413	GSM26414	GSM26415	GSM26416	GSM26417	GSM26418	GSM26419	GSM26420	GSM26421	GSM26422	GSM26423	GSM26424	GSM26425	GSM26426	GSM26427	GSM26428	GSM26429	GSM26430	GSM26431	GSM26432	GSM26433	GSM26434
	normal	carcinoma	normal	carcinoma	carcinoma	carcinoma	carcinoma	normal	normal	carcinoma	carcinoma	carcinoma	normal	carcinoma	normal	carcinoma	normal	carcinoma	carcinoma	normal	normal	normal	carcinoma	normal	normal	carcinoma	normal	normal	normal	normal	normal	normal	carcinoma	normal	normal	carcinoma	normal	normal	normal	normal	carcinoma	carcinoma	normal	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma
210715_s_at	394.2	461.9	493.3	472.5	726	447.2	646.8	401.1	76.3	237	754.7	502.2	295.8	702.7	293.8	399.6	445	715.3	551.5	553.1	289.2	554.3	505.4	233.2	434.8	535	293.7	434.6	439.1	584.2	274.9	427.6	433.9	254.3	238.5	260.5	262.4	288.1	331.5	337.1	378.9	382.2	519.7	553.7	557.9	296.8	420.3	307.6	517.5
208994_s_at	97.3	95.6	125.7	150	181.5	240	177.1	102.3	133.6	195.1	158.7	347.6	75.2	217.1	72.2	340.2	222	282.2	149.8	267.7	160.9	179.5	104.5	114.3	137.4	154.5	162.1	94.3	151	132.9	226.5	100.9	161.8	89.7	36.8	105.8	84.8	84	102.6	124.4	153.9	163.2	216	287.9	126.5	133.2	125.4	143.1	303.7
204803_s_at	17.8	5.9	13.2	34.5	41	39.6	28.1	21.2	31.3	22.8	21.5	30.4	10.6	24.3	8	51	9.9	74.9	10.1	83.2	7.9	21.3	11.2	7.8	26.2	20.3	17.3	16.6	6.2	9.4	24.5	10.7	31.9	15.9	8.3	25.9	6.5	10.3	23.8	19.5	15.1	55	42.5	44.3	8.6	40.1	12	18.7	59.1
214943_s_at	1	0.6	1.5	7.6	5.4	1.9	9.3	2.8	4	1.7	10.3	26	1.7	6.5	1.7	5.2	3.4	5.9	1.5	10	2.3	2.6	8	1.4	3.9	33.8	1.5	1	2	1.6	12.4	9.8	27.5	3.5	4.4	15.3	0.7	2.3	2.8	4.3	1.4	0.8	10.7	32	44.9	10.9	19.8	40.9	8.1
204124_at	34.5	22.6	12	20.4	73.8	18.2	78.7	8.9	9.3	31.3	58.5	61.1	15	49.6	15.4	158.4	18.3	89.1	34.6	161.7	17.7	31.4	60.6	30.9	60.2	5.9	13.2	3	20.2	7.9	24.7	21.9	11.8	25.5	2.3	31.6	5.2	9	20.2	12.8	19.2	54.1	22	62.5	7	13.1	29.5	24.8	141.9
204784_s_at	93.2	5.1	5.9	122.8	38	287	65.8	12.3	7.5	58.4	8.1	174.9	20.6	111.1	22.5	52.4	4.2	38.7	28.2	172.6	35	57.7	47.8	107	60.4	179.7	9.8	71.3	27.4	5.4	13.2	57.4	83.9	11.6	15.9	95.1	4.7	4.3	5	6.3	46.8	5.4	20.2	131.6	167.2	41.3	26.8	11.6	128.5
215012_at	26.1	105.4	5.9	33.7	19.6	97.9	76.9	14.2	14.7	1.1	43.9	105.9	13.1	42.7	2.7	64.9	19.8	10.3	7.8	137.6	27.4	29.7	42	17.7	54.6	18.5	2.7	22.9	19.9	21.7	31.1	13.6	23	6.8	19.9	3.3	1	6.7	10.9	4.3	16.4	79.8	13.3	85.8	4.9	17.3	27.1	26.9	74.8
214088_s_at	312.3	275.7	143.1	309.4	526.5	322.3	555	157.5	78.2	116	217.1	576	231.4	120.1	40.9	263.3	258.7	820.4	293.3	51.2	153.8	178.2	336.3	208.7	233.1	207.1	50.8	78.4	39.7	70.7	32.4	243.6	183.5	112.6	49.7	143.1	118.3	158.2	274.2	34	226.2	172.4	61.9	264.1	424.1	67.5	126.7	215.6	358.3
221040_at	10.2	15.3	5.2	16.4	33.8	11.3	41.7	13.4	10.2	29.5	4.3	14.8	2.7	30.3	3.9	44.4	2.6	35.1	17.7	62.8	10.5	7.8	21.3	8.9	7.6	15.8	4.7	11.5	10.4	7.5	6.4	6.2	8.6	2.7	2.2	1.1	5.6	34.2	13.8	19.4	22.9	4.3	16.5	61.8	3.8	12.9	3.8	27.7	43.4
206560_s_at	61.1	304.1	86	836.6	141.3	42.4	388.7	58.6	168.4	1028.9	86.3	256.7	37	190.4	42.7	364.9	92.8	160.7	32.5	262	40.2	96.3	81	126.2	70.5	769.7	29.8	96.1	29.9	47.4	79.4	46.7	455.2	182.6	66	298.7	44.2	50.8	153.7	106.8	82.7	175.1	119.4	160	130.9	111	38.2	161.9	450.5
200929_at	169.3	30	47.8	225.4	305	65.6	293.1	112	41.9	209.5	302.9	259	22.1	116.1	12.1	188.5	50.7	64	71.2	45.7	96.3	63.3	224.3	146.4	98.8	82.9	93.4	59	25.4	83.5	35.1	127.2	100.5	35.3	5.6	92.4	50.1	25	35.3	70.2	141.7	139.2	50.5	21.3	209.4	63.6	200.7	10.6	96
215034_s_at	423.3	630.1	129	1676.3	677.6	288.6	1821.9	299.5	197.1	258.2	387.5	2398.1	479.1	184.3	64.9	1500.9	132.5	1247.6	583.5	668.2	107.3	754	540.1	588.5	497.7	165.1	31.4	40	3.8	28.8	7.9	434.5	362	3.9	38.2	1102.5	83.5	21.8	715	29.9	130.6	305.1	254.4	174.1	294	1139.1	331.8	207.9	1501.1
